Time,Open,High,Low,Close,Volume
2022-06-23 08:15:00,20604.43000000,20659.46000000,20547.22000000,20568.55000000,754.12877000
2022-06-23 08:30:00,20568.55000000,20609.75000000,20478.76000000,20508.35000000,696.20243000
2022-06-23 08:45:00,20508.34000000,20578.01000000,20480.00000000,20576.66000000,570.64960000
2022-06-23 09:00:00,20576.65000000,20631.33000000,20570.92000000,20611.04000000,755.48758000
2022-06-23 09:15:00,20611.04000000,20720.00000000,20513.78000000,20550.80000000,1486.16549000
2022-06-23 09:30:00,20550.80000000,20628.85000000,20488.02000000,20516.81000000,863.20425000
2022-06-23 09:45:00,20516.81000000,20785.52000000,20497.78000000,20746.40000000,1785.27602000
2022-06-23 10:00:00,20746.40000000,20796.60000000,20690.23000000,20796.02000000,1630.46868000
2022-06-23 10:15:00,20796.02000000,20812.12000000,20706.74000000,20733.54000000,899.27850000
2022-06-23 10:30:00,20733.54000000,20766.80000000,20674.97000000,20744.61000000,738.60266000
2022-06-23 10:45:00,20744.62000000,20784.21000000,20662.53000000,20699.54000000,781.10042000
2022-06-23 11:00:00,20699.54000000,20719.69000000,20676.59000000,20693.84000000,438.10335000
2022-06-23 11:15:00,20693.84000000,20718.66000000,20645.85000000,20696.29000000,548.53341000
2022-06-23 11:30:00,20696.30000000,20704.82000000,20591.53000000,20624.14000000,783.14442000
2022-06-23 11:45:00,20624.14000000,20668.77000000,20613.62000000,20638.79000000,682.94329000
2022-06-23 12:00:00,20638.89000000,20720.62000000,20576.25000000,20664.03000000,836.20131000
2022-06-23 12:15:00,20664.03000000,20777.00000000,20637.76000000,20765.76000000,902.30328000
2022-06-23 12:30:00,20765.77000000,20829.21000000,20565.00000000,20581.31000000,1557.04198000
2022-06-23 12:45:00,20581.32000000,20628.01000000,20493.21000000,20563.48000000,1077.46787000
2022-06-23 13:00:00,20563.48000000,20636.19000000,20536.40000000,20600.36000000,779.33268000
2022-06-23 13:15:00,20600.36000000,20639.29000000,20573.96000000,20580.01000000,399.91362000
2022-06-23 13:30:00,20580.01000000,20653.80000000,20490.72000000,20501.25000000,1188.70833000
2022-06-23 13:45:00,20501.24000000,20538.60000000,20365.13000000,20459.94000000,1607.20967000
2022-06-23 14:00:00,20459.94000000,20506.19000000,20397.59000000,20431.00000000,948.23909000
2022-06-23 14:15:00,20431.11000000,20496.98000000,20418.98000000,20464.11000000,686.41559000
2022-06-23 14:30:00,20464.11000000,20546.00000000,20450.00000000,20539.61000000,832.98850000
2022-06-23 14:45:00,20539.61000000,20615.94000000,20516.56000000,20609.71000000,829.93491000
